Passenger Feedback,class
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was convenient,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of amenities,good
 The journey was pleasant and the travel time was satisfactory,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of legroom,good
 The journey was smooth and the travel time was reasonable,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of amenities,good
 The journey was enjoyable and the travel time was convenient,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was satisfactory,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of legroom,good
 The journey was pleasant and the travel time was reasonable,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant,good
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The bus was late and I missed my appointment,bad
 The driver was not following the traffic rules,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not paying attention to the road,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the route and took a longer route,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the traffic signals and it was dangerous,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and it was too bumpy,bad
 The driver was not following the route and took a longer route,bad
 The bus was not clean and it smelled bad,bad
 The driver was not courteous and was not helping passengers,bad
 The bus was too slow and it took too long to reach the destination,bad
 The driver was not following the traffic rules,bad
 The bus was too crowded and uncomfortable,bad
 The conductor was rude and unhelpful,bad
 The driver was driving too fast and it made me feel unsafe,bad
 The bus was not well maintained and it was making a lot of noise,bad
 The driver was not paying attention to the road and it was dangerous,bad
 The bus was not airconditioned and it was too hot,bad
 The driver was not following the speed limit and it was dangerous,bad
 The conductor was not helping passengers with their luggage,bad
 The bus was not punctual and it was late,bad
 The driver was not polite and was not helping passengers,bad
 The bus was not comfortable and,bad
 etc,emergency
 Driver was driving recklessly and almost caused an accident,emergency
 Bus broke down in the middle of the journey,emergency
 Driver was rude and unprofessional,emergency
 Conductor was not helpful and unresponsive,emergency
 Bus was overcrowded and uncomfortable,emergency
 Driver was speeding and not following traffic rules,emergency
 Bus was late and missed the scheduled stop,emergency
 Driver was using a mobile phone while driving,emergency
 Bus was not airconditioned and was very hot,emergency
 Driver was not following the designated route,emergency
 Bus was not clean and had a bad smell,emergency
 Driver was not wearing a seatbelt,emergency
 Bus was not equipped with safety features,emergency
 Driver was not paying attention to the road,emergency
 Bus was not maintained properly and had mechanical issues,emergency
 Driver was not following the traffic signals,emergency
 Bus was not equipped with proper lighting,emergency
 Driver was not following the speed limit,emergency
 Bus was not equipped with proper safety equipment,emergency
 Driver was not courteous to passengers,emergency
 Bus was not equipped with proper emergency exits,emergency
 Driver was not following the designated stops,emergency
 Bus was not equipped with proper fire safety equipment,emergency
 Driver was not following the traffic laws,emergency
 Bus was not equipped with proper first aid kits,emergency
 Driver was not providing a safe and comfortable ride,emergency
 Bus was not equipped with proper security measures,emergency
 Driver was not providing a smooth ride,emergency
 Bus was not equipped with proper ventilation,emergency
 Driver was not providing a timely ride,emergency
 Bus was not equipped with proper emergency communication systems,emergency
 Driver was not providing a secure ride,emergency
 Bus was not equipped with proper emergency lighting,emergency
 Driver was not providing a pleasant ride,emergency
 Bus was not equipped with proper emergency signage,emergency
 Driver was not providing a reliable ride,emergency
 Bus was not equipped with proper emergency exits,emergency
 Driver was not providing a safe and secure ride,emergency
 Bus was not equipped with proper emergency brakes,emergency
 Driver was not providing a comfortable ride,emergency
 Bus was not equipped with proper emergency alarms,emergency
 Driver was not providing a smooth and comfortable ride,emergency
 Bus was not equipped with proper emergency evacuation procedures,emergency
 Driver was not providing a timely and reliable ride,emergency
 Bus was not equipped with proper emergency medical kits,emergency
 Driver was not providing a secure and pleasant ride,emergency
 Bus was not equipped with proper emergency contact information,emergency
 Driver was not providing a safe and timely ride,emergency
 Bus was not equipped with proper emergency lighting systems,emergency
 Driver was not providing a secure and comfortable ride,emergency
 Bus was not equipped with proper emergency communication devices,emergency
 Driver was not providing a pleasant and reliable ride,emergency
 Bus was not equipped with proper emergency response plans,emergency
 Driver was not providing a safe and smooth ride,emergency
 Bus was not equipped with proper emergency evacuation routes,emergency
 Driver was not providing a secure and timely ride,emergency
 Bus was not equipped with proper emergency response teams,emergency
 Driver was not providing a comfortable and pleasant ride,emergency
 Bus was not equipped with proper emergency response equipment,emergency
 Driver was not providing a reliable and smooth ride,emergency
 Bus was not equipped with proper emergency response protocols,emergency
 Driver was not providing a secure and pleasant ride,emergency
 Bus was not equipped with proper emergency response vehicles,emergency
 Driver was not providing a safe and reliable ride,emergency
 Bus was not equipped with proper emergency response personnel,emergency
 Driver was not providing a comfortable and timely ride,emergency
 Bus was not equipped with proper emergency response systems,emergency
 Driver was not providing a secure and smooth ride,emergency
 Bus was not equipped with proper emergency response procedures,emergency
 Driver was not providing a pleasant and timely ride,emergency
 Bus was not equipped with proper emergency response training,emergency
 Driver was not providing a reliable and comfortable ride,emergency
 Bus was not equipped with proper emergency response plans,emergency
 Driver was not providing a safe and pleasant ride,emergency
 Bus was not equipped with proper emergency response teams,emergency
 Driver was not providing a secure and reliable ride,emergency
 Bus was not equipped with proper emergency response equipment,emergency
 Driver was not providing a comfortable and smooth ride,emergency
 Bus was not equipped with proper emergency response protocols,emergency
 Driver was not providing a pleasant and secure ride,emergency
 Bus was not equipped with proper emergency response vehicles,emergency
 Driver was not providing a reliable and timely ride,emergency
 Bus was not equipped with proper emergency response personnel,emergency
 Driver was not providing a safe and pleasant ride,emergency
 Bus was not equipped with proper emergency response systems,emergency
 Driver was not providing a secure and comfortable ride,emergency
 Bus was not equipped with proper emergency response procedures,emergency
 Driver was not providing a pleasant and reliable ride,emergency
 Bus was not equipped with proper emergency response training,emergency
 Driver was not providing a comfortable and secure ride,emergency
 Bus was not equipped with proper emergency response plans,emergency
 Driver was not providing a safe and smooth ride,emergency
 Bus was not equipped with proper emergency response teams,emergency
 Driver was not providing a secure and pleasant ride,emergency
 Bus was not equipped with proper emergency response equipment,emergency
 Driver was not providing a reliable and comfortable ride,emergency
 Bus was not equipped with proper emergency response protocols,emergency
 Driver was not providing a pleasant and timely ride,emergency
 Bus was not equipped with proper emergency response vehicles,emergency
 Driver was not providing a secure and reliable ride,emergency
We are having breakdown,emergency
The bus is having breakdown,emergency
we are having trouble at kadawatha,emergency
